Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
3.0,0.0013538039044092508,0.0017152658662092624,0.07056129648601726,0.004295673554722871,1302216,3,60.18696,24.8681,Kuusiniementie
30.0,0.00025498575935033603,0.0017152658662092624,0.06594423872264528,0.0025980756631011717,1302218,30,60.184553,24.857309,Kuusisaarenkuja
4.0,0.0012717644334600058,0.0017152658662092624,0.07047570539372468,0.004229124183776382,1302217,4,60.18716,24.86985,Kuusiniementie
687.0,0.0069759907287862705,0.0017152658662092624,0.07577459605684593,0.005926722075398082,1301215,687,60.192436,24.880264,Saunalahti
5.0,0.00015992861972484064,0.0025728987993138934,0.07353521266496217,0.009037947233752818,1310142,5,60.15653,24.88541,Heikkiläntie
5.0,0.00015992861972484064,0.0025728987993138934,0.07353521266496217,0.009037947233752818,1310143,5,60.15661,24.8856,Heikkiläntie
11.0,2.9172537966887954e-05,0.0017152658662092624,0.06854264322136096,0.007337106707905983,1310145,11,60.15336,24.88507,Vattuniemenkuja
11.0,2.9172537966887954e-05,0.0017152658662092624,0.06854264322136096,0.007337106707905983,1320199,11,60.153323,24.884999,Vattuniemenkuja
16.0,0.00045410226727377425,0.0025728987993138934,0.07930140111456578,0.016054502897162218,1310104,16,60.16085,24.88663,Koillisväylä
16.0,0.00045410226727377425,0.0025728987993138934,0.07930140111456578,0.016054502897162218,1310141,16,60.159713,24.887872,Pajalahdentie
6.0,2.2777623100210597e-06,0.0017152658662092624,0.060423453306210406,0.0011897417776436743,1310129,6,60.15365,24.87722,Särkiniementie
6.0,2.2777623100210597e-06,0.0017152658662092624,0.060423453306210406,0.0011897417776436743,1310130,6,60.1539,24.8764,Särkiniementie
12.0,6.451984977548237e-07,0.0025728987993138934,0.057016851350919155,5.8710959998513645e-05,1310131,12,60.15394,24.88144,Kiviaidankatu
12.0,6.451984977548237e-07,0.0025728987993138934,0.057016851350919155,5.8710959998513645e-05,1532143,12,60.15414,24.879996,Heikkilänpolku
14.0,1.2271766803916885e-05,0.003430531732418525,0.06427010124622413,0.005712532939028771,1310109,14,60.15817,24.87228,Lauttasaaren kirkko
14.0,1.2271766803916885e-05,0.003430531732418525,0.06427010124622413,0.005712532939028771,1310110,14,60.15792,24.87184,Lauttasaaren kirkko
